No	From	To	Tokens	TokenBalance	Block	TxIndex	TxHash
86	0x0000000000000000000000000000000000000000	0x2e206555d9073985a030074493977b71ba8986e5	383.143717263	13115237.775451864579484315	3913153	10	0x7a59edfa9d476e4c8f98be329fa7269e66bcb3a8b109d10ff1978b3b6507193a
87	0x0000000000000000000000000000000000000000	0x8179117d9ac65eca27be4e73e04cfec5440329f7	143.604	13115381.379451864579484315	3913153	11	0x8e6b93a80eb2edce1069ae7264a1db1de7aeaf35f652249499b1b4366ebfd2ea
88	0x0000000000000000000000000000000000000000	0xe2f624218c5714bc51462c0415b0a4d66db36268	1340.304	13116721.683451864579484315	3913153	12	0xa7cad1a25e1991a4ae790aa5a6197d38a8a710c26703b23438d11cfda4d60c94
89	0x0000000000000000000000000000000000000000	0xc9c78bd87922d1dc1a653f2a6724662d08265390	478.68	13117200.363451864579484315	3913153	13	0xaca7dd92a9a9109faa6d9e4980fcf8bd23d21de135f4fc1e20d3a0aee0c55e77
90	0x0000000000000000000000000000000000000000	0x661218f97ee63af34baa42d8de03ca57c2d64f1c	9573.6	13126773.963451864579484315	3913153	14	0xaf9ae969549b1eb99fe8ab7e5d0b52f26c2630352e5bcf253b74af4b7cac1dc2
91	0x0000000000000000000000000000000000000000	0xcf9777a710e7d7f0bc9b695cfa6187d6e22521e2	119.67	13126893.633451864579484315	3913153	15	0xb684c20c5f997e57f19c47d6b7efad657539c358ca653cf4332be70cdbbdf142
92	0x0000000000000000000000000000000000000000	0x840ab4f5aa381abea2e17c8bb632fa87c2ab224c	966.9336	13127860.567051864579484315	3913153	17	0xc60550c0df8aae2cfa719f8f32bd68c219a621e5784b6a2589472f979516b941
93	0x0000000000000000000000000000000000000000	0x9f7f33c6266ef3f649342187bc5a0133ff0ba5fd	7180.2	13135040.767051864579484315	3913153	18	0xcb0791d5cce9d229d94610ed103ea35c6c4ef509efabe116988497507171f1d6
94	0x0000000000000000000000000000000000000000	0xc9172bd44542212c8e49372c0292a0c932a52739	1436.04	13136476.807051864579484315	3913153	19	0xcb8bb6af19efd7daa98e6f265f642d3951cdb49325208bb6248a495f06ec1480
95	0x0000000000000000000000000000000000000000	0xc8f9a7246af6650f96401dbbee0c30e5f913cf54	3829.44	13140306.247051864579484315	3913153	21	0xec432e06d6816d4d8e0391510e85be06cd7473920c91aa8f51413c964e1c2e9d
96	0x0000000000000000000000000000000000000000	0xabb8cdd71ffca5d9607f8cc56c1aa8b1ed135f37	1723.248	13142029.495051864579484315	3913153	31	0xf30d0c4cf0a05f8f6eace6d94187a92c193b9e329309f7d5414956325548edc9
